Time	Ru	Re	Wa	Cpu0	I/O Queue
70.1	1	0	0	C-g++	<<
70.2	1	0	0	C-g++	<<
70.3	1	0	0	C-g++	<<
70.4	1	0	0	C-g++	<<
70.5	1	0	0	C-g++	<<
70.6	1	0	0	C-g++	<<
70.7	1	0	0	C-g++	<<
70.8	1	0	0	C-g++	<<
70.9	1	0	0	C-g++	<<
71.00	0	0	(IDLE)	<<
71.00	0	0	(IDLE)	<<
71.00	0	0	(IDLE)	<<
71.00	0	0	(IDLE)	<<
71.00	0	0	(IDLE)	<<
71.00	0	0	(IDLE)	<<
71.00	0	0	(IDLE)	<<
71.00	0	0	(IDLE)	<<
Number of context Switches: 21 
Average Turn Around Time : 38.6
Average Waiting Time : 28.2
